09:03:48.162 logback-mybatis [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_151\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:/Program Files/Java/jre1.8.0_151/bin/server;C:/Program Files/Java/jre1.8.0_151/bin;C:/Program Files/Java/jre1.8.0_151/lib/amd64;E:\app\Administrator\product\11.2.0\dbhome_1\bin;C:\ProgramData\Oracle\Java\javapath;C:\Program Files (x86)\Java\jdk1.7.0_17\bin;c:\windows\system32;C:\Program Files (x86)\Java;%\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Java\jdk1.6.0_20\bin;C:\Program Files (x86)\Java\jdk1.6.0_20\jre\bin;D:\tomcat6\apache-tomcat-7.0.52\lib;D:\tomcat6\apache-tomcat-7.0.52\lib\servlet-api.jar;D:\tomcat6\apache-tomcat-7.0.52\lib\jsp-api.jar;D:\spring-tool-suite-3.6.3.SR1-e4.4.1-win32-x86_64\sts-bundle\sts-3.6.3.SR1;;.]
09:03:49.504 logback-mybatis [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
09:03:49.535 logback-mybatis [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:03:49.535 logback-mybatis [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 7649 ms
09:03:55.121 logback-mybatis [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
09:03:55.137 logback-mybatis [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webMvcMetricsFilter' to: [/*]
09:03:55.137 logback-mybatis [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
09:03:55.137 logback-mybatis [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
09:03:55.137 logback-mybatis [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
09:03:55.137 logback-mybatis [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpTraceFilter' to: [/*]
09:03:55.137 logback-mybatis [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
09:03:57.634 logback-mybatis [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
09:03:58.663 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4d5d943d: startup date [Mon Aug 20 09:03:41 CST 2018]; root of context hierarchy
09:03:59.434 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/index],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.index(org.springframework.ui.Model) throws java.lang.Exception
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/adminExit],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.exit(org.springframework.ui.Model,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/add],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.add(org.springframework.ui.Model)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/type],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.type(org.springframework.ui.Model)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/delete],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.delete(int,org.springframework.ui.Model,javax.servlet.http.HttpSession)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/addtype],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.addType()
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/adminsearchMessage],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.adminsearchMessage(java.lang.String,org.springframework.ui.Model)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.Login()
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/doLogin],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.doLogin(java.lang.String,java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/doadd],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.doadd(java.lang.String,int,java.lang.String,java.lang.String,float,int,java.lang.String,java.lang.String,org.springframework.web.multipart.MultipartFile,int,float,org.springframework.ui.Model,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpSession) throws java.lang.IllegalStateException,java.io.IOException
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/doaddtype],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.doaddtype(com.example.model.Category,javax.servlet.http.HttpSession)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/xiugai],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.Edit(int,org.springframework.ui.Model)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/doEdit],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.doEdit(int,float,int,org.springframework.web.multipart.MultipartFile,java.lang.String,int,float,org.springframework.ui.Model,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpSession) throws java.lang.IllegalStateException,java.io.IOException
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/updatetype],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.updatetype(int,org.springframework.ui.Model)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/doupdatetype],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.doupdatetype(com.example.model.Category,javax.servlet.http.HttpSession)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/deletetype],methods=[GET]}" onto public java.lang.String com.example.controller.AdminController.deletetype(int,org.springframework.ui.Model,javax.servlet.http.HttpSession)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/adminsearch],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.adminsearch(java.lang.String,org.springframework.ui.Model)
09:03:59.450 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/adminsearchType],methods=[POST]}" onto public java.lang.String com.example.controller.AdminController.adminsearchType(java.lang.String,org.springframework.ui.Model)
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/order],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.order(org.springframework.ui.Model,javax.servlet.http.HttpSession) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookIndex(org.springframework.ui.Model,javax.servlet.http.HttpSession) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/cart],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookCart(org.springframework.ui.Model,javax.servlet.http.HttpSession) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/about],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookAbout(org.springframework.ui.Model) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/category],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookCategory(int,org.springframework.ui.Model) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/contact],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookContact(org.springframework.ui.Model) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/details],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookDetails(int,org.springframework.ui.Model) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/license],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookLicense(org.springframework.ui.Model) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/register],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookRegister(org.springframework.ui.Model) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/specials],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.bookSpecials(org.springframework.ui.Model) throws java.lang.Exception
09:03:59.465 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/categoryType],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.findTypeBook(java.lang.String,org.springframework.ui.Model) throws java.lang.Exception
09:03:59.481 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.findbookname(java.lang.String,org.springframework.ui.Model) throws java.lang.Exception
09:03:59.481 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/deleteOrder],methods=[GET]}" onto public java.lang.String com.example.controller.BookController.deleteOrder(java.lang.String)
09:03:59.481 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/change],methods=[GET]}" onto public void com.example.controller.CarController.change(java.lang.String,java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
09:03:59.481 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addcar],methods=[GET]}" onto public void com.example.controller.CarController.addCar(java.lang.String,java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.springframework.ui.Model) throws java.lang.Exception
09:03:59.481 logback-mybatis [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/deleteCar],methods=[GET]}" onto public void com.example.controller.CarController.deleteCar(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
